"DATE ","EXPIRY DATE ","OPTION TYPE ","STRIKE PRICE ","OPEN PRICE ","HIGH PRICE ","LOW PRICE ","CLOSE PRICE ","LAST PRICE ","SETTLE PRICE ","Volume ","VALUE ","PREMIUM VALUE ","OPEN INTEREST ","CHANGE IN OI "
"28-Dec-2023","28-Dec-2023","PE","2,500.00","0.10","0.60","0.05","0.10","0.05","2,605.55","8,31,500","2,07,88,34,087.50","84,087.50","3,94,500","-3,74,500"
"27-Dec-2023","28-Dec-2023","PE","2,500.00","1.00","1.40","0.15","0.25","0.25","0.25","14,15,500","3,53,93,27,187.50","5,77,187.50","7,69,000","-3,88,500"
"26-Dec-2023","28-Dec-2023","PE","2,500.00","1.80","3.50","0.70","1.40","1.20","1.40","21,55,000","5,39,09,34,662.50","34,34,662.50","11,57,500","-1,30,250"
"22-Dec-2023","28-Dec-2023","PE","2,500.00","5.10","6.40","2.15","2.75","2.65","2.75","42,03,000","10,52,36,97,637.50","1,61,97,637.50","12,87,750","63,250"
"21-Dec-2023","28-Dec-2023","PE","2,500.00","14.90","18.05","4.60","5.10","4.85","5.10","43,23,750","10,84,87,12,162.50","3,93,37,162.50","12,24,500","3,10,500"
"20-Dec-2023","28-Dec-2023","PE","2,500.00","7.90","15.85","3.80","14.65","14.90","14.65","65,26,750","16,37,41,00,512.50","5,72,25,512.50","9,14,000","-2,63,500"
"19-Dec-2023","28-Dec-2023","PE","2,500.00","15.05","17.30","7.70","8.95","8.70","8.95","61,43,250","15,42,79,20,575.00","6,97,95,575.00","11,77,500","1,35,750"
"18-Dec-2023","28-Dec-2023","PE","2,500.00","30.00","32.00","17.25","20.55","21.00","20.55","60,44,250","15,24,03,62,537.50","12,97,37,537.50","10,41,750","-41,250"
"15-Dec-2023","28-Dec-2023","PE","2,500.00","40.80","42.50","28.00","29.50","29.85","29.50","31,28,000","7,92,47,83,487.50","10,47,83,487.50","10,83,000","1,18,000"
"14-Dec-2023","28-Dec-2023","PE","2,500.00","57.25","61.40","41.75","43.95","42.45","43.95","11,81,000","3,00,73,04,412.50","5,48,04,412.50","9,65,000","1,17,750"
"13-Dec-2023","28-Dec-2023","PE","2,500.00","80.70","88.00","69.05","71.30","69.85","71.30","2,96,250","76,42,75,875.00","2,36,50,875.00","8,47,250","-33,500"
"12-Dec-2023","28-Dec-2023","PE","2,500.00","56.95","78.35","53.30","76.35","78.00","76.35","5,67,500","1,45,38,23,600.00","3,50,73,600.00","8,80,750","12,250"
