"DATE ","EXPIRY DATE ","OPTION TYPE ","STRIKE PRICE ","OPEN PRICE ","HIGH PRICE ","LOW PRICE ","CLOSE PRICE ","LAST PRICE ","SETTLE PRICE ","Volume ","VALUE ","PREMIUM VALUE ","OPEN INTEREST ","CHANGE IN OI "
"28-Dec-2023","28-Dec-2023","CE","2,400.00","191.00","208.45","187.00","201.35","206.00","2,605.55","64,500","16,75,43,150.00","1,27,43,150.00","6,30,000","-51,750"
"27-Dec-2023","28-Dec-2023","CE","2,400.00","184.50","197.10","177.00","186.45","186.30","186.45","96,000","24,81,03,337.50","1,77,03,337.50","6,81,750","-50,750"
"26-Dec-2023","28-Dec-2023","CE","2,400.00","174.05","190.00","166.25","177.95","179.00","177.95","1,07,000","27,59,11,225.00","1,91,11,225.00","7,32,500","-45,250"
"22-Dec-2023","28-Dec-2023","CE","2,400.00","158.45","188.00","157.00","167.60","164.95","167.60","2,29,750","58,98,06,262.50","3,84,06,262.50","7,77,750","-18,750"
"21-Dec-2023","28-Dec-2023","CE","2,400.00","124.00","174.00","124.00","165.75","164.45","165.75","3,31,500","84,79,95,250.00","5,23,95,250.00","7,96,500","-40,500"
"20-Dec-2023","28-Dec-2023","CE","2,400.00","178.85","203.00","129.00","133.15","132.00","133.15","5,82,750","1,50,00,60,512.50","10,14,60,512.50","8,37,000","-2,35,750"
"19-Dec-2023","28-Dec-2023","CE","2,400.00","144.00","179.00","130.60","161.25","161.00","161.25","5,99,250","1,53,18,43,487.50","9,36,43,487.50","10,72,750","-1,57,750"
"18-Dec-2023","28-Dec-2023","CE","2,400.00","109.00","141.00","103.90","126.35","125.00","126.35","10,22,250","2,58,19,12,687.50","12,85,12,687.50","12,30,500","-1,23,000"
"15-Dec-2023","28-Dec-2023","CE","2,400.00","92.05","110.00","88.50","107.85","106.00","107.85","16,89,750","4,22,66,82,437.50","17,12,82,437.50","13,53,500","-3,21,500"
"14-Dec-2023","28-Dec-2023","CE","2,400.00","70.55","90.00","68.00","85.95","87.00","85.95","20,05,500","4,97,49,67,712.50","16,17,67,712.50","16,75,000","-5,66,000"
"13-Dec-2023","28-Dec-2023","CE","2,400.00","56.25","62.85","47.20","59.65","60.50","59.65","28,24,250","6,93,19,88,837.50","15,37,88,837.50","22,41,000","1,56,250"
"12-Dec-2023","28-Dec-2023","CE","2,400.00","79.05","84.00","55.20","57.30","56.05","57.30","15,61,000","3,85,28,45,587.50","10,64,45,587.50","20,84,750","1,29,500"
"11-Dec-2023","28-Dec-2023","CE","2,400.00","79.65","85.50","76.20","78.80","79.00","78.80","6,42,250","1,59,28,09,075.00","5,14,09,075.00","19,55,250","-52,000"
"08-Dec-2023","28-Dec-2023","CE","2,400.00","84.95","97.50","67.10","77.75","78.00","77.75","17,43,500","4,32,54,91,087.50","14,10,91,087.50","20,07,250","-73,250"
"07-Dec-2023","28-Dec-2023","CE","2,400.00","83.45","85.40","70.80","82.40","83.00","82.40","8,38,250","2,07,83,65,650.00","6,65,65,650.00","20,80,500","-25,250"
"06-Dec-2023","28-Dec-2023","CE","2,400.00","68.00","99.90","68.00","86.00","86.70","86.00","21,76,500","5,41,10,83,625.00","18,74,83,625.00","21,05,750","-2,45,000"
"05-Dec-2023","28-Dec-2023","CE","2,400.00","62.30","69.60","56.00","66.30","65.70","66.30","33,98,250","8,37,26,29,837.50","21,68,29,837.50","23,50,750","-5,12,250"
"04-Dec-2023","28-Dec-2023","CE","2,400.00","50.60","70.50","48.00","57.05","56.30","57.05","60,31,750","14,81,67,71,950.00","34,05,71,950.00","28,63,000","-7,39,500"
"01-Dec-2023","28-Dec-2023","CE","2,400.00","45.70","50.85","44.70","47.05","46.50","47.05","58,40,250","14,29,26,12,262.50","27,60,12,262.50","36,02,500","3,88,250"
"30-Nov-2023","28-Dec-2023","CE","2,400.00","56.50","56.75","43.55","45.65","45.60","45.65","44,17,000","10,81,22,04,775.00","21,14,04,775.00","32,14,250","11,40,750"
"29-Nov-2023","28-Dec-2023","CE","2,400.00","55.05","62.10","54.25","56.70","56.45","56.70","30,88,250","7,59,00,24,512.50","17,82,24,512.50","20,73,500","1,83,500"
"28-Nov-2023","28-Dec-2023","CE","2,400.00","47.75","53.80","41.20","51.75","52.75","51.75","21,77,500","5,32,68,61,712.50","10,08,61,712.50","18,90,000","2,95,500"
"24-Nov-2023","28-Dec-2023","CE","2,400.00","51.50","56.00","49.50","50.50","50.85","50.50","15,16,750","3,72,02,26,037.50","8,00,26,037.50","15,94,500","3,17,500"
"23-Nov-2023","28-Dec-2023","CE","2,400.00","48.55","53.20","47.50","51.45","51.90","51.45","15,00,000","3,67,62,10,512.50","7,62,10,512.50","12,77,000","1,19,250"
"22-Nov-2023","28-Dec-2023","CE","2,400.00","43.00","51.25","41.60","49.45","49.95","49.45","15,82,750","3,87,38,30,812.50","7,52,30,812.50","11,57,750","96,500"
